title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://www.badabusiness.com/digitaldukan/BIAB022094;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://www.badabusiness.com/digitaldukan/BIAB022094;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://www.badabusiness.com/digitaldukan/BIAB022094;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://www.badabusiness.com/digitaldukan/BIAB022094;4.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://www.badabusiness.com/digitaldukan/BIAB022094;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://www.badabusiness.com/digitaldukan/BIAB022094;6.png
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://www.badabusiness.com/digitaldukan/BIAB022094;7.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://www.badabusiness.com/digitaldukan/BIAB022094;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://www.badabusiness.com/digitaldukan/BIAB022094;9.png
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://www.badabusiness.com/digitaldukan/BIAB022094;10.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://www.badabusiness.com/digitaldukan/BIAB022094;11.png
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://www.badabusiness.com/digitaldukan/BIAB022094;12.png
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://www.badabusiness.com/digitaldukan/BIAB022094;13.png
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://www.badabusiness.com/digitaldukan/BIAB022094;14.png
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://www.badabusiness.com/digitaldukan/BIAB022094;15.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://www.badabusiness.com/digitaldukan/BIAB022094;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://www.badabusiness.com/digitaldukan/BIAB022094;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://www.badabusiness.com/digitaldukan/BIAB022094;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://www.badabusiness.com/digitaldukan/BIAB022094;19.png
Online Store;A Django online store app where users can place order and sellers can manage them.;https://www.badabusiness.com/digitaldukan/BIAB022094;20.png
